Бар,Пиво,Литры 2025,Литры 2026,Д Литры,Выручка 2025,Выручка 2026,Д Выручка,Наценка 2025,Наценка 2026,Маржа 2025,Маржа 2026,Д Маржа
ИТОГО,во rewort nutty nut,7.8,0.0,-100.0%,12378,0,-100.0%,166%,-,7809,0,-100.0%
ИТОГО,во баптист вит,4.2,0.0,-100.0%,12009,0,-100.0%,224%,-,8124,0,-100.0%
ИТОГО,во варка пшено,3.7,0.0,-100.0%,4320,0,-100.0%,256%,-,3054,0,-100.0%
ИТОГО,во гулден драк 708,6.8,0.0,-100.0%,22826,0,-100.0%,241%,-,16143,0,-100.0%
ИТОГО,во джаст хёфевайцен,2.8,0.0,-100.0%,3420,0,-100.0%,220%,-,2350,0,-100.0%
ИТОГО,во коникс черри руби,12.8,0.0,-100.0%,33994,0,-100.0%,219%,-,23226,0,-100.0%
ИТОГО,во литовер мораван,10.7,0.0,-100.0%,21364,0,-100.0%,217%,-,14692,0,-100.0%
ИТОГО,во локал лагер (рыжее),14.9,0.0,-100.0%,14514,0,-100.0%,435%,-,11744,0,-100.0%
ИТОГО,во палм,14.7,0.0,-100.0%,38833,0,-100.0%,203%,-,26245,0,-100.0%
ИТОГО,во ригеле файнес урхелль,3.7,0.0,-100.0%,10737,0,-100.0%,200%,-,6998,0,-100.0%
ИТОГО,гулден драк 708,0.0,48.5,NEW,0,88988,NEW,-,157%,0,53350,NEW
ИТОГО,джаст хёфевайцен,0.2,0.0,-100.0%,673,0,-100.0%,289%,-,500,0,-100.0%
ИТОГО,джоус бланш,15.6,0.0,-100.0%,34887,0,-100.0%,223%,-,24084,0,-100.0%
ИТОГО,джоус грезы,4.2,0.0,-100.0%,8352,0,-100.0%,291%,-,5931,0,-100.0%
ИТОГО,джоус мюних хеллес,78.7,0.0,-100.0%,107829,0,-100.0%,201%,-,71843,0,-100.0%
ИТОГО,джоус овсяный стаут,0.0,1.5,NEW,0,1181,NEW,-,113%,0,626,NEW
ИТОГО,дикий крест сухой,0.0,18.2,NEW,0,20324,NEW,-,204%,0,13614,NEW
ИТОГО,коникс бланш ма шери,0.0,40.6,NEW,0,30299,NEW,-,257%,0,21786,NEW
ИТОГО,коникс оверфолл ипа,32.6,59.5,+82.5%,39426,55539,+40.9%,238%,273%,27758,40651,+46.4%
ИТОГО,коникс черри руби,11.3,29.1,+158.9%,21062,34626,+64.4%,208%,218%,13984,23435,+67.6%
ИТОГО,крик де лютин,13.7,0.0,-100.0%,19405,0,-100.0%,209%,-,13088,0,-100.0%
ИТОГО,леруа иперман,14.8,0.0,-100.0%,40706,0,-100.0%,264%,-,28484,0,-100.0%
ИТОГО,леруа капиттель блонд,11.5,0.0,-100.0%,27424,0,-100.0%,197%,-,18183,0,-100.0%
ИТОГО,леруа хоммельбир,12.7,0.0,-100.0%,17453,0,-100.0%,185%,-,11230,0,-100.0%
ИТОГО,леруа хоммельбир драй хоппдт,13.0,0.0,-100.0%,34265,0,-100.0%,213%,-,23216,0,-100.0%
ИТОГО,лефорт трипель,7.7,71.1,+819.5%,31180,128255,+311.3%,195%,181%,20996,81329,+287.3%
ИТОГО,литовел мораван,28.5,0.0,-100.0%,44241,0,-100.0%,237%,-,31010,0,-100.0%
ИТОГО,локал лагер (рыжее),15.4,0.0,-100.0%,14460,0,-100.0%,321%,-,10998,0,-100.0%
ИТОГО,монкс кафе,36.8,18.4,-49.9%,76686,28451,-62.9%,188%,153%,49463,17122,-65.4%
ИТОГО,нектар лагер,0.0,20.0,NEW,0,18724,NEW,-,211%,0,12724,NEW
ИТОГО,нишко лагер,0.0,50.4,NEW,0,51347,NEW,-,239%,0,36242,NEW
ИТОГО,островица ipa,8.6,13.9,+62.3%,13671,13520,-1.1%,192%,47%,8946,4476,-50.0%
ИТОГО,палм,9.1,33.3,+267.1%,17889,43900,+145.4%,208%,35%,12091,10686,-11.6%
ИТОГО,палм (б),2.5,0.0,-100.0%,5803,0,-100.0%,194%,-,3820,0,-100.0%
ИТОГО,план б ковбой мальборо,0.0,32.1,NEW,0,30969,NEW,-,257%,0,22456,NEW
ИТОГО,радебергер пилснер,29.0,0.0,-100.0%,59747,0,-100.0%,281%,-,43431,0,-100.0%
ИТОГО,ригеле коммерциенрат,0.0,94.5,NEW,0,138506,NEW,-,199%,0,90634,NEW
ИТОГО,ригеле файнес урхелль,13.0,9.8,-24.8%,33400,15260,-54.3%,235%,172%,23213,9772,-57.9%
